date,weekday,session,trading_session
2026-05-02,Saturday,NO_SESSION_WEEKEND,False
2026-05-03,Sunday,NO_SESSION_WEEKEND,False
2026-05-04,Monday,TRADING_SESSION,True
2026-05-05,Tuesday,TRADING_SESSION,True
2026-05-06,Wednesday,TRADING_SESSION,True
2026-05-07,Thursday,TRADING_SESSION,True
2026-05-08,Friday,TRADING_SESSION,True
2026-05-09,Saturday,NO_SESSION_WEEKEND,False
2026-05-10,Sunday,NO_SESSION_WEEKEND,False
2026-05-11,Monday,TRADING_SESSION,True
2026-05-12,Tuesday,TRADING_SESSION,True
2026-05-13,Wednesday,TRADING_SESSION,True
2026-05-14,Thursday,TRADING_SESSION,True
2026-05-15,Friday,TRADING_SESSION,True
2026-05-16,Saturday,NO_SESSION_WEEKEND,False
2026-05-17,Sunday,NO_SESSION_WEEKEND,False
2026-05-18,Monday,TRADING_SESSION,True
2026-05-19,Tuesday,TRADING_SESSION,True
2026-05-20,Wednesday,TRADING_SESSION,True
2026-05-21,Thursday,TRADING_SESSION,True
2026-05-22,Friday,TRADING_SESSION,True
2026-05-23,Saturday,NO_SESSION_WEEKEND,False
2026-05-24,Sunday,NO_SESSION_WEEKEND,False
2026-05-25,Monday,TRADING_SESSION,True
2026-05-26,Tuesday,TRADING_SESSION,True
2026-05-27,Wednesday,TRADING_SESSION,True
2026-05-28,Thursday,TRADING_SESSION,True
2026-05-29,Friday,TRADING_SESSION,True
2026-05-30,Saturday,NO_SESSION_WEEKEND,False
2026-05-31,Sunday,NO_SESSION_WEEKEND,False
2026-06-01,Monday,TRADING_SESSION,True
2026-06-02,Tuesday,TRADING_SESSION,True
2026-06-03,Wednesday,TRADING_SESSION,True
2026-06-04,Thursday,TRADING_SESSION,True
2026-06-05,Friday,TRADING_SESSION,True
2026-06-06,Saturday,NO_SESSION_WEEKEND,False
2026-06-07,Sunday,NO_SESSION_WEEKEND,False
2026-06-08,Monday,TRADING_SESSION,True
2026-06-09,Tuesday,TRADING_SESSION,True
2026-06-10,Wednesday,TRADING_SESSION,True
2026-06-11,Thursday,TRADING_SESSION,True
2026-06-12,Friday,TRADING_SESSION,True
2026-06-13,Saturday,NO_SESSION_WEEKEND,False
2026-06-14,Sunday,NO_SESSION_WEEKEND,False
2026-06-15,Monday,TRADING_SESSION,True
2026-06-16,Tuesday,TRADING_SESSION,True
2026-06-17,Wednesday,TRADING_SESSION,True
2026-06-18,Thursday,TRADING_SESSION,True
